i,x,y,voltage,flow,cover dropped,index,drop stage
269,610.686000,622.548000,3.626222e-01,0.020433, 444.779268,0.131313,12721,1 of 10 
270,609.696000,622.548000,3.627192e-01,0.016648, 444.779268,0.093664,12720,1 of 10 
271,608.706000,622.548000,3.628031e-01,0.000737, 444.779268,0.003673,12719,1 of 10 
272,607.716000,622.548000,3.628651e-01,0.002889, 444.779268,0.012856,12718,1 of 10 
273,603.756000,622.548000,3.628947e-01,0.000895, 444.779268,0.002755,12717,1 of 10 
274,553.266000,622.548000,2.015364e-01,0.021071, 444.779268,0.029385,12702,1 of 10 
275,529.506000,622.548000,1.114831e-01,0.002463, 444.779268,0.002755,12695,1 of 10 
276,516.636000,622.548000,1.036165e-01,0.028290, 444.779268,0.009183,12691,1 of 10 
277,611.676000,623.538000,3.629791e-01,0.001252, 444.779268,0.013774,12631,1 of 10 
278,610.686000,623.538000,3.630379e-01,0.001450, 444.779268,0.013774,12630,1 of 10 
279,602.766000,623.538000,3.633256e-01,0.021378, 444.779268,0.095500,12624,1 of 10 
280,601.776000,623.538000,3.633879e-01,0.010010, 444.779268,0.042241,12623,1 of 10 
281,538.416000,623.538000,1.365879e-01,0.026835, 444.779268,0.015611,12610,1 of 10 
282,537.426000,623.538000,1.339063e-01,0.014272, 444.779268,0.008264,12609,1 of 10 
283,436.446000,623.538000,6.740092e-02,0.035625, 444.779268,0.156107,12545,1 of 10 
284,608.706000,624.528000,3.633050e-01,0.010456, 444.779268,0.115702,12543,1 of 10 
285,600.786000,624.528000,3.637701e-01,0.000409, 444.779268,0.001837,12535,1 of 10 
286,533.466000,624.528000,1.206768e-01,0.004882, 444.779268,0.003673,12520,1 of 10 
287,527.526000,624.528000,1.072422e-01,0.020838, 444.779268,0.027548,12519,1 of 10 
288,518.616000,624.528000,9.956700e-02,0.013342, 444.779268,0.003673,12516,1 of 10 
289,517.626000,624.528000,9.846014e-02,0.020847, 444.779268,0.005510,12515,1 of 10 
290,511.686000,624.528000,9.291042e-02,0.007174, 444.779268,0.002755,12509,1 of 10 
291,508.716000,624.528000,8.997503e-02,0.003441, 444.779268,0.001837,12506,1 of 10 
292,507.726000,624.528000,8.902147e-02,0.019133, 444.779268,0.011019,12505,1 of 10 
293,500.796000,624.528000,8.470251e-02,0.013780, 444.779268,0.007346,12502,1 of 10 
294,436.446000,624.528000,6.721845e-02,0.014442, 444.779268,0.059688,12448,1 of 10 
295,435.456000,624.528000,6.720898e-02,0.025370, 444.779268,0.127640,12447,1 of 10 
296,610.686000,625.518000,3.633481e-01,0.004186, 444.779268,0.088154,12446,1 of 10 
297,609.696000,625.518000,3.633677e-01,0.002604, 444.779268,0.046832,12445,1 of 10 
298,608.706000,625.518000,3.633884e-01,0.031416, 444.779268,0.479339,12444,1 of 10 
299,523.566000,625.518000,1.011063e-01,0.013230, 444.779268,0.007346,12424,1 of 10 
300,521.586000,625.518000,9.974149e-02,0.032195, 444.779268,0.011938,12422,1 of 10 
